Original,Character,Dialogue,Wordcount
Tidus:You bet it is. I can't wait to get in front of the crowds again!,Tidus, You bet it is. I can't wait to get in front of the crowds again!,14
"Onion Knight:Tidus, you're from the same world as Seymour, right?",Onion Knight," Tidus, you're from the same world as Seymour, right?",8
"Onion Knight:It sounds like you were on opposite sides, but what did he do back then?",Onion Knight," It sounds like you were on opposite sides, but what did he do back then?",14
Tidus:I think he was somebody important. Yuna seemed to respect him originally...,Tidus, I think he was somebody important. Yuna seemed to respect him originally...,11
"Tidus:Maybe... Everyone trusted him, I guess.",Tidus," Maybe... Everyone trusted him, I guess.",5
"Penelo:Even though we're talking about your home world, you don't sound so sure.",Penelo," Even though we're talking about your home world, you don't sound so sure.",12
Tidus:I don't know all there is about Spira.,Tidus, I don't know all there is about Spira.,7
"Tidus:That's my story, but not actually.",Tidus," That's my story, but not actually.",5
Galuf:Hmm... So you have disparate backgrounds.,Galuf, Hmm... So you have disparate backgrounds.,5
Shantotto:And you as an alien would pick up on points to them less salient?,Shantotto, And you as an alien would pick up on points to them less salient?,13
Tidus:I couldn't buy what Seymour was selling.,Tidus, I couldn't buy what Seymour was selling.,6
"Onion Knight:Release in death, right? It's a hard sell for us, too.",Onion Knight," Release in death, right? It's a hard sell for us, too.",10
Onion Knight:Don't tell me Yuna and Wakka bought into that.,Onion Knight, Don't tell me Yuna and Wakka bought into that.,8
"Tidus:I wouldn't say they bought it, but in Spira...death is always close at hand.",Tidus," I wouldn't say they bought it, but in Spira...death is always close at hand.",13
Tidus:Yuna was ready to sacrifice herself to save everybody else.,Tidus, Yuna was ready to sacrifice herself to save everybody else.,9
Penelo:That's awful... What's the point of protecting someone if you can't be there with them?,Penelo, That's awful... What's the point of protecting someone if you can't be there with them?,14
Tidus:Everyone thought there's no other way.,Tidus, Everyone thought there's no other way.,5
"Shantotto:With death always close at hand, we all would be better off dead...",Shantotto," With death always close at hand, we all would be better off dead...",12
Shantotto:...is the train of thought I suspect runs through Seymour's head.,Shantotto, ...is the train of thought I suspect runs through Seymour's head.,10
Galuf:And he'd still push that thought in this world... He's not one to be trusted.,Galuf, And he'd still push that thought in this world... He's not one to be trusted.,14
Onion Knight:Though I agree with not wanting to be a slave to the gods.,Onion Knight, Though I agree with not wanting to be a slave to the gods.,12
Penelo:...He scares me.,Penelo, ...He scares me.,2
Penelo:The heart stops moving in the dead. There's no way for us to tell if they're happy or not...,Penelo, The heart stops moving in the dead. There's no way for us to tell if they're happy or not...,18
"Shantotto:If Mog can find a use for him, then use him he would.",Shantotto," If Mog can find a use for him, then use him he would.",12
Shantotto:But that doesn't mean trusting him would do us any good.,Shantotto, But that doesn't mean trusting him would do us any good.,10
"Onion Knight:If he's up to something, you guys would notice it first. When that time comes, we're counting on you.",Onion Knight," If he's up to something, you guys would notice it first. When that time comes, we're counting on you.",18
Tidus:You got it.,Tidus, You got it.,2
"Tidus:I'm not gonna let him ""ease"" any of our ""suffering.""",Tidus," I'm not gonna let him ""ease"" any of our ""suffering.""",9
"Tidus:What is Seymour doing here, anyway? What's he want from us?",Tidus," What is Seymour doing here, anyway? What's he want from us?",10
Yuna:Our lives.,Yuna, Our lives.,1
Zidane:He said that we were servants to the gods and that we were better off dead.,Zidane, He said that we were servants to the gods and that we were better off dead.,15
Tidus:I sure hope we don't run into him anytime soon.,Tidus, I sure hope we don't run into him anytime soon.,9
"Mog:Yeah, he's a very dangerous person, kupo. And rude at that!",Mog," Yeah, he's a very dangerous person, kupo. And rude at that!",10
Seymour:Death is the ultimate liberation from suffering. Why can't you see that?,Seymour, Death is the ultimate liberation from suffering. Why can't you see that?,11
"Seymour:Ah, so you were summoned as well?",Seymour," Ah, so you were summoned as well?",6
Seymour:How amusing. The gods of this world must need all the help they can get.,Seymour, How amusing. The gods of this world must need all the help they can get.,14
Cecil:Take that back! Tidus is a warrior of remarkable skill.,Cecil, Take that back! Tidus is a warrior of remarkable skill.,9
Tidus:I knew there was a reason I never liked you!,Tidus, I knew there was a reason I never liked you!,9
Seymour:Say what you willfor even those thoughts are but a passing dream.,Seymour, Say what you will—for even those thoughts are but a passing dream.,11
"Seymour:Now, Lady Yuna, let us put an end to this futile struggle.",Seymour," Now, Lady Yuna, let us put an end to this futile struggle.",11
Seymour:Embrace the eternal slumber that awaits you.,Seymour, Embrace the eternal slumber that awaits you.,6
"Tidus:Lay one finger on her, and you're dead!",Tidus," Lay one finger on her, and you're dead!",7
"Yuna:Maester Seymour, I can't let you do that.",Yuna," Maester Seymour, I can't let you do that.",7
Cecil:Our lives are not ours to throw away anymore.,Cecil, Our lives are not ours to throw away anymore.,8
Seymour:Servants of the godsit seems I must release you from your pain.,Seymour, Servants of the gods—it seems I must release you from your pain.,11
"Zidane:Well, you heard him, Tidus. What're you gonna do?",Zidane," Well, you heard him, Tidus. What're you gonna do?",8
Tidus:I'm Yuna's guardian. I'll protect her no matter what happens.,Tidus, I'm Yuna's guardian. I'll protect her no matter what happens.,9
Tidus:Seymour! It's over for you!,Tidus, Seymour! It's over for you!,4
Seymour:There is no use in fighting it.,Seymour, There is no use in fighting it.,6
"Seymour:Come, death shall carry you off into a sweet slumber!",Seymour," Come, death shall carry you off into a sweet slumber!",9
Seymour:How could I lose to you mindless pawns?,Seymour, How could I lose to you mindless pawns?,7
King:Who are you calling a mindless pawn? It's my choice to be here!,King, Who are you calling a mindless pawn? It's my choice to be here!,12
"Seymour:Poor creatures, bound by the shackles of life...",Seymour," Poor creatures, bound by the shackles of life...",7
Seymour:The time for liberation is near.,Seymour, The time for liberation is near.,5
"Tidus:Wait! Seymour, come back!",Tidus," Wait! Seymour, come back!",3
Sazh:*Sigh* He sure comes and goes as he pleases.,Sazh, *Sigh* He sure comes and goes as he pleases.,8
"Mog:Monsters aren't our only problem, kupo. Who knows when he'll show up again.",Mog," Monsters aren't our only problem, kupo. Who knows when he'll show up again.",12
"Sazh:It's gonna be a tough journey, kid. You up for it?",Sazh," It's gonna be a tough journey, kid. You up for it?",10
Tidus:Bring it on.,Tidus, Bring it on.,2
Tidus:I told you guys already. I'm gonna protect Yuna no matter what.,Tidus, I told you guys already. I'm gonna protect Yuna no matter what.,11
King:Looks like it's settled then.,King, Looks like it's settled then.,4
"Tidus:From now on, we're a team.",Tidus," From now on, we're a team.",5
Tidus:And what kind of star player would I be if I didn't look out for you guys? Let's do this!,Tidus, And what kind of star player would I be if I didn't look out for you guys? Let's do this!,19
"Mog:Yay! Welcome to our team, kupo!",Mog," Yay! Welcome to our team, kupo!",5
"Mog:There's a Torsion in here, kupo! I can feel it!",Mog," There's a Torsion in here, kupo! I can feel it!",9
Penelo:No one let your guard down. Who knows what might be lurking in the shadows.,Penelo, No one let your guard down. Who knows what might be lurking in the shadows.,14
King:The heck are you?,King, The heck are you?,3
Prishe:I'm Prishe! My fists and I are cleaning up the monsters around here. Nice to meet ya!,Prishe, I'm Prishe! My fists and I are cleaning up the monsters around here. Nice to meet ya!,16
"Onion Knight:Well, aren't you the cheerful one.",Onion Knight," Well, aren't you the cheerful one.",5
Warrior of Light:I sense an exceptional power within hersomething grand.,Warrior of Light, I sense an exceptional power within her—something grand.,7
Prishe:Hm? What's up? Something on my face?,Prishe, Hm? What's up? Something on my face?,6
"Warrior of Light:No, it's nothing.",Warrior of Light," No, it's nothing.",2
"King:At the very least, it doesn't look like you're the enemy. ...Care to join us?",King," At the very least, it doesn't look like you're the enemy. ...Care to join us?",14
"Mog:I can sense the light within her! She's one of us, kupo!",Mog," I can sense the light within her! She's one of us, kupo!",11
"Warrior of Light:Prishe, we are also on a journey to defeat the monsters that terrorize this world.",Warrior of Light," Prishe, we are also on a journey to defeat the monsters that terrorize this world.",14
Prishe:Really? What a coincidence!,Prishe, Really? What a coincidence!,3
Prishe:Looks like there's only one way to settle this: first one to defeat all the monsters wins!,Prishe, Looks like there's only one way to settle this first one to defeat all the monsters wins!,16
Penelo:W-wait... You're turning this into a game?,Penelo, W-wait... You're turning this into a game?,6
Prishe:Yep! What better motivation than a little competition?,Prishe, Yep! What better motivation than a little competition?,7
"Prishe:Well, catch ya later! Don't get yourselves killed!",Prishe," Well, catch ya later! Don't get yourselves killed!",7
Prishe:You monsters are gonna be sorry when I find you!,Prishe, You monsters are gonna be sorry when I find you!,9
"Mog:She could have at least listened to what I had to say, kupo.",Mog," She could have at least listened to what I had to say, kupo.",12
Onion Knight:We'll just have to explain things next time we run into her.,Onion Knight, We'll just have to explain things next time we run into her.,11
Prishe:Ughhh... It's not...over yet.,Prishe, Ughhh... It's not...over yet.,3
"Shantotto:Oh, what is this I see? Already giving up on your killing spree?",Shantotto," Oh, what is this I see? Already giving up on your killing spree?",12
Prishe:If only...I had something to eat...I wouldn't have lost.,Prishe, If only...I had something to eat...I wouldn't have lost.,8
"Zidane:Something to eat? What, you trying to feed the monsters or something?",Zidane," Something to eat? What, you trying to feed the monsters or something?",11
"Prishe:No, you dummy! Something for me to eat!",Prishe," No, you dummy! Something for me to eat!",7
Prishe:I'm so hungry I can barely move. You guys got anything?,Prishe, I'm so hungry I can barely move. You guys got anything?,10
Warrior of Light:Very well. You may eat with us.,Warrior of Light, Very well. You may eat with us.,6
"Yang:Mog, let us feast and appease her hunger.",Yang," Mog, let us feast and appease her hunger.",7
"Mog:Right on it, kupo!",Mog," Right on it, kupo!",3
"Prishe:Wow, that was delicious! Thanks a bunch.",Prishe," Wow, that was delicious! Thanks a bunch.",6
Mog:Kupo! You almost cleaned us out.,Mog, Kupo! You almost cleaned us out.,5
Prishe:My bad! I haven't had anything in days! Not a single eatery in sight around here.,Prishe, My bad! I haven't had anything in days! Not a single eatery in sight around here.,15
"Zidane:So I'm guessing you came here from another world, too?",Zidane," So I'm guessing you came here from another world, too?",9
Prishe:Another world? The heck you talking about?,Prishe, Another world? The heck you talking about?,6
"Yang:I know this may surprise you, but you have been summoned to another world.",Yang," I know this may surprise you, but you have been summoned to another world.",13
"Mog:We're searching for people like you to help us close the Torsions, kupo.",Mog," We're searching for people like you to help us close the Torsions, kupo.",12
"Prishe:Oh, okay! I don't get it, but gotcha!",Prishe," Oh, okay! I don't get it, but gotcha!",7
"Prishe:I mean I don't really understand what's going on, but I totally get that you need my help.",Prishe," I mean I don't really understand what's going on, but I totally get that you need my help.",17
Warrior of Light:That should do for now.,Warrior of Light, That should do for now.,4
"Prishe:Have no fear, Prishe is here! One good Howling Fist and those monsters are toast!",Prishe," Have no fear, Prishe is here! One good Howling Fist and those monsters are toast!",14
Shantotto:That's a rather optimistic mood when just moments ago you were crying for food.,Shantotto, That's a rather optimistic mood when just moments ago you were crying for food.,13
Prishe:Heh! I'm countin' on you guys to keep me full!,Prishe, Heh! I'm countin' on you guys to keep me full!,9
Zidane:I hope there's enough for the rest of us...,Zidane, I hope there's enough for the rest of us...,8
Prishe:Ughhh... So hungry...,Prishe, Ughhh... So hungry...,2
Penelo:But we just ate. You sure are a bundle of energy.,Penelo, But we just ate. You sure are a bundle of energy.,10
Prishe:That doesn't change the fact that ...Hm?,Prishe, That doesn't change the fact that— ...Hm?,6
Prishe:Sniff... Sniff sniff sniff...,Prishe, Sniff... Sniff sniff sniff...,3
Prishe:Ahhh! Y-you!,Prishe, Ahhh! Y-you!,1
"Prishe:You smell like food! Let me have some, too!",Prishe," You smell like food! Let me have some, too!",8
Steiner:I beg your pardon? I don't see how I could possibly smell of... Ah!,Steiner, I beg your pardon? I don't see how I could possibly smell of... Ah!,13
Steiner:I-I cannot! These pickles are my treasure!,Steiner, I-I cannot! These pickles are my treasure!,6
Layle:A faint stench just wafted this way. You sure those are edible?,Layle, A faint stench just wafted this way. You sure those are edible?,11
Tifa:They don't look that tasty...,Tifa, They don't look that tasty...,4
"Steiner:These are the specialty of a certaincityin ourworld! A divisive delicacy, to be sure, but they are my favorite!",Steiner," These are the specialty of a certain city in our world! A divisive delicacy, to be sure, but they are my favorite!",18
Prishe:Ahhh! That aroma is riling up my appetite! Leeet meee have some!,Prishe, Ahhh! That aroma is riling up my appetite! Leeet meee have some!,11
"Steiner:Lady Prishe, I do believe we will get along well together.",Steiner," Lady Prishe, I do believe we will get along well together.",10
"Steiner:Be that as it may...since coming to this world, I fear these pickles are an unobtainable commodity...",Steiner," Be that as it may...since coming to this world, I fear these pickles are an unobtainable commodity...",16
"Steiner:Therefore I, too, have chosen to refrain from eating any! Lady Prishe, I beg your understanding!",Steiner," Therefore I, too, have chosen to refrain from eating any! Lady Prishe, I beg your understanding!",15
"Prishe:Hrmmm... Alright. If that's the way it is, I guess them's the breaks.",Prishe," Hrmmm... Alright. If that's the way it is, I guess them's the breaks.",12
Prishe:But I'm hungry I'm hungry I'm hungry!,Prishe, But I'm hungry I'm hungry I'm hungry!,6
Layle:Here we go again.,Layle, Here we go again.,3
Prishe:I wanna eat behemoth steak! A prime cut with all that marbling!,Prishe, I wanna eat behemoth steak! A prime cut with all that marbling!,11
"Vaan:Behemoth is good, isn't it? Tasty, and fetches a nice price at the bazaar.",Vaan," Behemoth is good, isn't it? Tasty, and fetches a nice price at the bazaar.",13
Tifa:Huh!? You can eat behemoth!?,Tifa, Huh!? You can eat behemoth!?,4
Layle:You can't be serious...,Layle, You can't be serious...,3
Prishe:We need a behemoth... I need to show you all what you're missing.,Prishe, We need a behemoth... I need to show you all what you're missing.,12
Tifa:I think I'll pass.,Tifa, I think I'll pass.,3
"Steiner:Hmm, I see, I see. This sounds like another delicacy.",Steiner," Hmm, I see, I see. This sounds like another delicacy.",9
Firion:Hunting down a Torsion in a palace this big is no easy task.,Firion, Hunting down a Torsion in a palace this big is no easy task.,12
"Firion:How is everyone holding up? If you need to take a break, just",Firion," How is everyone holding up? If you need to take a break, just—",12
"Firion:...Wait, where's Prishe?",Firion," ...Wait, where's Prishe?",2
Mog:Kupo! She was just here!,Mog, Kupo! She was just here!,4
Galuf:Hrm. I didn't even notice she was gone. How unobservant of me.,Galuf, Hrm. I didn't even notice she was gone. How unobservant of me.,11
King:Unilateral action during an operation poses a very real hazard. What could she be thinking...?,King, Unilateral action during an operation poses a very real hazard. What could she be thinking...?,14
Zell:I wouldn't worry. She'll turn up before you know it.,Zell, I wouldn't worry. She'll turn up before you know it.,9
"Prishe:Heyyy, guys!",Prishe," Heyyy, guys!",1
Zell:See? Back already.,Zell, See? Back already.,2
"Mog:Kupooo! Acting on your own is a problem, kupo! Don't run off like that!",Mog," Kupooo! Acting on your own is a problem, kupo! Don't run off like that!",13
"Prishe:Yeah, whatever you say! I just did a quick lap around the place! Found the Torsion, too!",Prishe," Yeah, whatever you say! I just did a quick lap around the place! Found the Torsion, too!",16
"Mog:One hundred percent unapologetic, kupo...",Mog," One hundred percent unapologetic, kupo...",4
Galuf:You covered the entire palace? Astonishing. And you were fine all by yourself?,Galuf, You covered the entire palace? Astonishing. And you were fine all by yourself?,12
"Prishe:Huh? Sure, why not?",Prishe," Huh? Sure, why not?",3
Prishe:Being alone's never been something for me to worry about.,Prishe, Being alone's never been something for me to worry about.,9
"Firion:Don't tell me you closed the Torsion all by yourself, too. That would be far too reckless...",Firion," Don't tell me you closed the Torsion all by yourself, too. That would be far too reckless...",16
"Prishe:Heck, no! It's more fun when everyone else is there, too!",Prishe," Heck, no! It's more fun when everyone else is there, too!",10
"Zell:Heheh, mighty kind of ya! Let me in on that action, too!",Zell," Heheh, mighty kind of ya! Let me in on that action, too!",11
Prishe:You got it! The Torsion's this way! Follow me!,Prishe, You got it! The Torsion's this way! Follow me!,8
"Galuf:Goodness gracious. Pep in spades, that one. I'm impressed...",Galuf," Goodness gracious. Pep in spades, that one. I'm impressed...",8
King:Let's keep up.,King, Let's keep up.,2
Firion:...I guess that means everyone's holding up well.,Firion, ...I guess that means everyone's holding up well.,7
"Mog:Kupo! That doesn't fix my mood, kupo!",Mog," Kupo! That doesn't fix my mood, kupo!",6
"Firion:Hey, all's well that ends well. We found the Torsion thanks to her, too.",Firion," Hey, all's well that ends well. We found the Torsion thanks to her, too.",13
"Mog:That's true, kupo, but...",Mog," That's true, kupo, but...",3
Firion:Cheer up. Let's go.,Firion, Cheer up. Let's go.,3
"Mog:We sealed the Torsion, kupo!",Mog," We sealed the Torsion, kupo!",4
"Prishe:Heh, I even amaze myself sometimes!",Prishe," Heh, I even amaze myself sometimes!",5
"Prishe:All right, then. Time to eat!",Prishe," All right, then. Time to eat!",5
Hope:She sure doesn't hold back how she feels.,Hope, She sure doesn't hold back how she feels.,7
"Rem:Yeah, I was thinking the same thing.",Rem," Yeah, I was thinking the same thing.",6
"Prishe:Rem, are you jealous?",Prishe," Rem, are you jealous?",3
Rem:Huh!? H-how did you know!?,Rem, Huh!? H-how did you know!?,4
Prishe:I know what people are thinking. Not like I want to though. It just happens.,Prishe, I know what people are thinking. Not like I want to though. It just happens.,14
Warrior of Light:Are you implying that you can read minds?,Warrior of Light, Are you implying that you can read minds?,7
Prishe:Nothin' so fancy as that. Let's just say I went through a lot when I was young.,Prishe, Nothin' so fancy as that. Let's just say I went through a lot when I was young.,16
Bartz:When you were young? You still look plenty young to me.,Bartz, When you were young? You still look plenty young to me.,10
Rem:It sounds like there's a lot more to you than meets the eye.,Rem, It sounds like there's a lot more to you than meets the eye.,12
"Prishe:Yeah, but don't worry about it. Just 'cause I can read your mind doesn't mean I'm gonna do something funny.",Prishe," Yeah, but don't worry about it. Just 'cause I can read your mind doesn't mean I'm gonna do something funny.",19
"Prishe:I don't like snooping into other people's business, and besides...I honestly don't care what other people think.",Prishe," I don't like snooping into other people's business, and besides...I honestly don't care what other people think.",16
"Prishe:Anyway, let's get something to eat! I'm starving!",Prishe," Anyway, let's get something to eat! I'm starving!",7
Hope:I'm not sure I can keep up with her...,Hope, I'm not sure I can keep up with her...,8
"Prishe:Oh, come on! Don't be like that! Let's be friends!",Prishe," Oh, come on! Don't be like that! Let's be friends!",9
Prishe:Things are about to get exciting! I can feel it.,Prishe, Things are about to get exciting! I can feel it.,9
"Mog:I hope she didn't read my mind, kupo...",Mog," I hope she didn't read my mind, kupo...",7
"Zidane:Guys, I think I see someone! Come on, they might be hurt!",Zidane," Guys, I think I see someone! Come on, they might be hurt!",11
"Mog:We have to help them, kupo!",Mog," We have to help them, kupo!",5
Zidane:Are you all right? Hey!,Zidane, Are you all right? Hey!,4
Bartz:Whoa! Hold up. That looks likeFaris!?,Bartz, Whoa! Hold up. That looks like—Faris!?,5
Tifa:Somebody you know?,Tifa, Somebody you know?,2
"Bartz:Yeah, we traveled the world together back home.",Bartz," Yeah, we traveled the world together back home.",7
"Bartz:Faris, you okay!? It's me, Bartz!",Bartz," Faris, you okay!? It's me, Bartz!",5
"Bartz:This isn't good. Breathing, but barely. We've gotta do something.",Bartz," This isn't good. Breathing, but barely. We've gotta do something.",9
Tifa:He must have nearly drowned...which leaves us with only one choice.,Tifa, He must have nearly drowned...which leaves us with only one choice.,10
Cloud:What are you looking at me for?,Cloud, What are you looking at me for?,6
Tifa:You know mouth-to-mouth.,Tifa, You know mouth-to-mouth.,2
"Zidane:Did somebody say ""mouth-to-mouth""? Like mouth-to-mouth resuscitation?",Zidane," Did somebody say ""mouth-to-mouth""? Like mouth-to-mouth resuscitation?",6
Zidane:Don't you worry! One hot resuscitation coming right up!,Zidane, Don't you worry! One hot resuscitation coming right up!,8
Faris:Ungh... Where am I?,Faris, Ungh... Where am I?,3
Cloud:Looks like you're off the hook.,Cloud, Looks like you're off the hook.,5
Zidane:Guess I am...,Zidane, Guess I am...,2
"Mog:I can sense the light in this one as well. First aid on the double, kupo!",Mog," I can sense the light in this one as well. First aid on the double, kupo!",15
"Zidane:I've got this! A little potion here, and...",Zidane," I've got this! A little potion here, and...",7
"Zidane:...But gosh, what a looker.",Zidane," ...But gosh, what a looker.",4
Bartz:You're gonna get it if you keep gawking.,Bartz, You're gonna get it if you keep gawking.,7
"Zidane:Uh-oh, I've gotta watch out for the bodyguard, too.",Zidane," Uh-oh, I've gotta watch out for the bodyguard, too.",8
Rem:Bodyguard? What's he talking about?,Rem, Bodyguard? What's he talking about?,4
Cloud:Beats me.,Cloud, Beats me.,1
Rem:Zidane doesn't usually get this excited around other guys...,Rem, Zidane doesn't usually get this excited around other guys...,8
Cloud:Maybe he switched sides.,Cloud, Maybe he switched sides.,3
Steiner:Hmmm...,Steiner, Hmmm...,1
Y'shtola:Is there something on your mind?,Y'shtola, Is there something on your mind?,5
"Bartz:Hey, everybody!",Bartz," Hey, everybody!",1
Bartz:Faris finally woke up.,Bartz, Faris finally woke up.,3
"Zidane:Hey, there! I'm glad you're okay.",Zidane," Hey, there! I'm glad you're okay.",5
Faris:I was told you all helped me. Please allow me to express my gratitude.,Faris, I was told you all helped me. Please allow me to express my gratitude.,13
Faris:I'm the pirate captain Faris. Nice to meet you.,Faris, I'm the pirate captain Faris. Nice to meet you.,8
Steiner:A pirate!?,Steiner, A pirate!?,1
"Faris:My ship was sucked into a strange whirlpool, and I was separated from my men.",Faris," My ship was sucked into a strange whirlpool, and I was separated from my men.",14
Faris:I found myself in unknown waters where my ship was attacked by monsters. I barely escaped with my life.,Faris, I found myself in unknown waters where my ship was attacked by monsters. I barely escaped with my life.,18
Faris:...Is something the matter?,Faris, ...Is something the matter?,3
"Steiner:Indeed, there is! I have no interest in consorting with the likes of a criminal! Begone!",Steiner," Indeed, there is! I have no interest in consorting with the likes of a criminal! Begone!",15
"Zidane:Oh brother, there he goes again.",Zidane," Oh brother, there he goes again.",5
Steiner:Ack! N-now that you mention it...!,Steiner, Ack! N-now that you mention it...!,5
Y'shtola:You were unaware till this moment?,Y'shtola, You were unaware till this moment?,5
"Steiner:Sea pirates, sky pirates, bandits... Why do I attract so many ne'er-do-wells?",Steiner," Sea pirates, sky pirates, bandits... Why do I attract so many ne'er-do-wells?",11
"Bartz:Don't sweat the small stuff. Faris, you're coming with us, right?",Bartz," Don't sweat the small stuff. Faris, you're coming with us, right?",10
"Faris:The monsters are coming out of those Torsions you spoke of, aye? Payback is in order for what they did to my ship.",Faris," The monsters are coming out of those Torsions you spoke of, aye? Payback is in order for what they did to my ship.",22
"Faris:I'm happy to see you, but I'm worried about my men...",Faris," I'm happy to see you, but I'm worried about my men...",10
Steiner:You say...you're worried about your men?,Steiner, You say...you're worried about your men?,5
"Faris:Aye, the whirlpool that got my ship might have gotten the lads as well.",Faris," Aye, the whirlpool that got my ship might have gotten the lads as well.",13
Steiner:...The compassion you have for your subordinates is most admirable...,Steiner, ...The compassion you have for your subordinates is most admirable...,9
"Steiner:Master Faris, please forgive my insolence! I must extend my most sincere",Steiner," Master Faris, please forgive my insolence! I must extend my most sincere—",11
"Faris:Oh, shove off. You don't need to apologize.",Faris," Oh, shove off. You don't need to apologize.",7
"Faris:Anyway, I know my way around water. If you need a fella to help clean up the monsters around here, look no further!",Faris," Anyway, I know my way around water. If you need a fella to help clean up the monsters around here, look no further!",22
Zidane:Great! Can't wait to see you at work!,Zidane, Great! Can't wait to see you at work!,7
"Y'shtola:...""Fella,"" is it? I see.",Y'shtola," ...""Fella,"" is it? I see.",4
"Laguna:Hey, Eiko, you hanging in there?",Laguna," Hey, Eiko, you hanging in there?",5
Eiko:Y-yeah! I'm fine!,Eiko, Y-yeah! I'm fine!,2
Squall:You aren't having trouble keeping up with our grown-up steps?,Squall, You aren't having trouble keeping up with our grown-up steps?,9
Eiko:Of course not! I'm already grown-up anyway!,Eiko, Of course not! I'm already grown-up anyway!,6
Yuffie:That's what a kid would say...,Yuffie, That's what a kid would say...,5
Faris:We'll be walking a while longer. Don't push yourself.,Faris, We'll be walking a while longer. Don't push yourself.,8
"Firion:You know, Faris, you're awfully nice for a pirate.",Firion," You know, Faris, you're awfully nice for a pirate.",8
"Faris:What's that supposed to mean, ""For a pirate""?",Faris," What's that supposed to mean, ""For a pirate""?",7
Firion:I have a lot...rougher impression of pirates. A band of them nearly robbed me blind once...,Firion, I have a lot...rougher impression of pirates. A band of them nearly robbed me blind once...,15
"Faris:Ahh, now I see.",Faris," Ahh, now I see.",3
"Faris:Aye, I'm a pirate. But that doesn't mean I assault anyone and everyone.",Faris," Aye, I'm a pirate. But that doesn't mean I assault anyone and everyone.",12
"Faris:Naturally I'd be concerned for my comrades, hear?",Faris," Naturally I'd be concerned for my comrades, hear?",7
Faris:Pirates raised me from a wee brat... The crew's like my family.,Faris, Pirates raised me from a wee brat... The crew's like my family.,11
Yuffie:I get it. You're like a pirate among pirates.,Yuffie, I get it. You're like a pirate among pirates.,8
"Yuffie:Oh, yeah! I've got a pirate question! What's the trick for guaranteed treasure stealing!?",Yuffie," Oh, yeah! I've got a pirate question! What's the trick for guaranteed treasure stealing!?",13
Faris:Trick to stealing? I wish I knew.,Faris, Trick to stealing? I wish I knew.,6
"Faris:Once your prey is in your sights, it's yours! Something in that spirit is probably important.",Faris," Once your prey is in your sights, it's yours! Something in that spirit is probably important.",15
"Yuffie:Gee, I didn't expect a motivational slogan...",Yuffie," Gee, I didn't expect a motivational slogan...",6
"Faris:...But anyway, Yuffie, let me say this much.",Faris," ...But anyway, Yuffie, let me say this much.",7
Faris:You must never steal from the weak or the poor. Never forget your honor under any circumstances.,Faris, You must never steal from the weak or the poor. Never forget your honor under any circumstances.,16
Yuffie:O-okay...I'll keep that in mind...,Yuffie, O-okay...I'll keep that in mind...,4
"Eiko:Hmm, what a tour de force. There's nothing like the real thing.",Eiko," Hmm, what a tour de force. There's nothing like the real thing.",11
Squall:...Do you know what she's talking about?,Squall, ...Do you know what she's talking about?,6
"Laguna:Ooh! Straight from the pulpit, too! It's not every day you get to meet a really real pirate!",Laguna," Ooh! Straight from the pulpit, too! It's not every day you get to meet a really real pirate!",17
"Laguna:That settles it! When I get back home, I'm gonna write up a full piece on you!",Laguna," That settles it! When I get back home, I'm gonna write up a full piece on you!",16
"Laguna:I'll call it: ""The Pirate Way - A True Story""! Oh man, it'll fly off the racks!",Laguna," I'll call it ""The Pirate Way - A True Story""! Oh man, it'll fly off the racks!",16
Squall:(...Who would read that...?),Squall, (...Who would read that...?),3
Faris:Do as you like...,Faris, Do as you like...,3
"Galuf:How are you doing, Faris? Getting along well with your new party?",Galuf," How are you doing, Faris? Getting along well with your new party?",11
"Faris:Aye, swimmingly. More'n a few odd ones...but it's a good-natured lot.",Faris," Aye, swimmingly. More'n a few odd ones...but it's a good-natured lot.",10
Bartz:Really? That's good to hear!,Bartz, Really? That's good to hear!,4
Bartz:Huh? What's that?,Bartz, Huh? What's that?,2
Tidus:Whew! Haven't had a refreshing swim like that in forever! Nothing beats the ocean!,Tidus, Whew! Haven't had a refreshing swim like that in forever! Nothing beats the ocean!,13
Galuf:A leisurely dip must be nice...,Galuf, A leisurely dip must be nice...,5
"Tidus:I don't know about ""leisurely."" I gotta keep up with my training, too.",Tidus," I don't know about ""leisurely."" I gotta keep up with my training, too.",12
"Tidus:Oh, hey! Faris, how about a lap or two? I'll bet pirates are ace swimmers!",Tidus," Oh, hey! Faris, how about a lap or two? I'll bet pirates are ace swimmers!",14
"Faris:I'll...take a rain check. I'd drown in these clothes, after all.",Faris," I'll...take a rain check. I'd drown in these clothes, after all.",10
Tidus:Those clothes? Just go in your skivvies then.,Tidus, Those clothes? Just go in your skivvies then.,7
"Faris:Er, well... I, uh...",Faris," Er, well... I, uh...",3
"Tidus:...? Well, it was just a suggestion.",Tidus," ...? Well, it was just a suggestion.",6
"Tidus:Anyway, I'm going back in!",Tidus," Anyway, I'm going back in!",4
"Galuf:...Not everyone's picked up on it yet, eh?",Galuf," ...Not everyone's picked up on it yet, eh?",7
"Bartz:It's up to Faris to say something whenever the time is right, right?",Bartz," It's up to Faris to say something whenever the time is right, right?",12
"Faris:...If only I knew whenever that time might be. I can tell no one here would give me grief about it, but even so...",Faris," ...If only I knew whenever that time might be. I can tell no one here would give me grief about it, but even so...",23
